date,date_key,year,month,month_name,quarter
2020-01-01,1,2020.0,1.0,January,1.0
2020-02-01,2,2020.0,2.0,February,1.0
2020-03-01,3,2020.0,3.0,March,1.0
2020-04-01,4,2020.0,4.0,April,2.0
2020-05-01,5,2020.0,5.0,May,2.0
2020-06-01,6,2020.0,6.0,June,2.0
2020-07-01,7,2020.0,7.0,July,3.0
2020-08-01,8,2020.0,8.0,August,3.0
2020-09-01,9,2020.0,9.0,September,3.0
2020-10-01,10,2020.0,10.0,October,4.0
2020-11-01,11,2020.0,11.0,November,4.0
2020-12-01,12,2020.0,12.0,December,4.0
2021-01-01,13,2021.0,1.0,January,1.0
2021-02-01,14,2021.0,2.0,February,1.0
2021-03-01,15,2021.0,3.0,March,1.0
2021-03-13,16,2021.0,3.0,March,1.0
2021-04-01,17,2021.0,4.0,April,2.0
2021-04-14,18,2021.0,4.0,April,2.0
2021-05-01,19,2021.0,5.0,May,2.0
2021-06-01,20,2021.0,6.0,June,2.0
2021-07-01,21,2021.0,7.0,July,3.0
2021-08-01,22,2021.0,8.0,August,3.0
2021-09-01,23,2021.0,9.0,September,3.0
2021-10-01,24,2021.0,10.0,October,4.0
2021-11-01,25,2021.0,11.0,November,4.0
2021-12-01,26,2021.0,12.0,December,4.0
2022-01-01,27,2022.0,1.0,January,1.0
2022-02-01,28,2022.0,2.0,February,1.0
2022-03-01,29,2022.0,3.0,March,1.0
2022-04-01,30,2022.0,4.0,April,2.0
2022-05-01,31,2022.0,5.0,May,2.0
2022-06-01,32,2022.0,6.0,June,2.0
2022-07-01,33,2022.0,7.0,July,3.0
2022-08-01,34,2022.0,8.0,August,3.0
2022-09-01,35,2022.0,9.0,September,3.0
2022-10-01,36,2022.0,10.0,October,4.0
2022-11-01,37,2022.0,11.0,November,4.0
2022-12-01,38,2022.0,12.0,December,4.0
2023-01-01,39,2023.0,1.0,January,1.0
2023-02-01,40,2023.0,2.0,February,1.0
2023-03-01,41,2023.0,3.0,March,1.0
2023-04-01,42,2023.0,4.0,April,2.0
2023-05-01,43,2023.0,5.0,May,2.0
2023-06-01,44,2023.0,6.0,June,2.0
2023-07-01,45,2023.0,7.0,July,3.0
2023-08-01,46,2023.0,8.0,August,3.0
2023-09-01,47,2023.0,9.0,September,3.0
2023-10-01,48,2023.0,10.0,October,4.0
2023-11-01,49,2023.0,11.0,November,4.0
2023-12-01,50,2023.0,12.0,December,4.0
2024-01-01,51,2024.0,1.0,January,1.0
2024-02-01,52,2024.0,2.0,February,1.0
2024-03-01,53,2024.0,3.0,March,1.0
2024-04-01,54,2024.0,4.0,April,2.0
2024-05-01,55,2024.0,5.0,May,2.0
2024-06-01,56,2024.0,6.0,June,2.0
,57,,,,
